Name	Set	ImageFile	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Text	Flavor	Comments	Artist	Type	Category	Edition	NoMax	Designators
Death Shadow (274)	netherworld	death_shadow_nw	Mercenary	3	{asc}{asc}		2	0	0	Unique.  Takes no damage from characters that intercept her.	"I shall slide through your blows as a shadow darts across a wall."		Kaja Foglio	Character	Ascended	Rare	N	 death shadow mercenary 
Draco (275)	standard	draco_standard	Lodge Enforcer	6	{asc}{asc}{asc}{asc}	{asc}	12	0	0	Unique.	The dragon blood in his veins gives him the powers of all transformed animals.		Mark Poole	Character	Ascended	Rare	N	 draco lodge enforcer 
Fist of the Bear (276)	standard	fist_of_the_bear_standard	Lodge Enforcer	4	{asc}{asc}	{asc}	6	0	0		The bear blood that flows in her veins makes her implacable and bold.		Mark Poole	Character	Ascended	Uncommon	N	 fist bear lodge enforcer 
Gruff Lieutenant (277)	standard	gruff_lieutenant_standard	Pledged Cop	1	{asc}	{asc}	1	0	0	Stealth.	The Order of the Wheel recruits high-ranking police officiers to keep them hip to action on the streets.		Douglas Shuler	Character	Ascended	Common	N	 gruff lieutenant pledged cop 
Just a Rat (278)	flashpoint	just_a_rat_fp	Lodge Survivor	3	{asc}	{asc}	3	0	0	Stealth. Inflict 2 points of damage on any character that Just a Rat bypasses using Stealth.			Matt Wilson	Character	Ascended	Uncommon	N	 just rat lodge survivor 
Leatherback (279)	flashpoint	leatherback_fp	Lodge Survivor	4	{asc}	{asc}	5	0	0	Unturns when an opponent plays a {mag} or {tek} card.	The Lodge ain't sittin' pretty in 2056.		Dan Frazier	Character	Ascended	Uncommon	N	 leatherback lodge survivor 
Liquidators (280)	standard	liquidators_standard	Pledged Enforcers	3		{asc}	3	0	0	+1 damage if you also control a Lodge character.			Richard Thomas	Character	Ascended	Very Common	N	 liquidator liquidators pledged enforcer enforcers 
Might of the Elephant (281)	standard	might_of_the_elephant_standard	Lodge Enforcer	4		{asc}	100	0	0	X = the number of {asc} resources in your resource pool.			Mark Poole	Character	Ascended	Uncommon	N	 might elephant lodge enforcer 
Military Commandant (282)	standard	military_commandant_standard	Pledged Mastermind	2	{asc}{asc}	{asc}	1	0	0	Turn and maintain to give target character +2 Fighting.			Mike Kimble	Character	Ascended	Uncommon	N	 military commandant pledged mastermind 
Mountain Warrior (283)	flashpoint	mountain_warrior_fp	Pledged Survivor	2	{asc}	{asc}	2	0	0	Gains Ambush until the end of the turn if an opponent turns a site to use the site's special ability.	The winners rule the world. The losers keep the faith.		Mike Kimble	Character	Ascended	Common	N	 mountain warrior pledged survivor 
Mr. Big (284)	flashpoint	mr_big_fp	Hood Mastermind	3	{asc}	{asc}	3	0	0	Unique. All other Hoods you control gain +1 Fighting. Turn to unturn a Hood character. If someone seizes or burns a site you control, they may take control of one of your Hood cards.			April Lee	Character	Ascended	Rare	N	 mr big hood mastermind 
Mr. X (285)	standard	mr_x_standard	Lodge Mastermind	3	{asc}{asc}	{asc}	1	0	0	Unique.  Turn and maintain to control a character with a play cost no greater than 3.  It comes to your side unturned.	"I have places to go and people to be."		Phil Foglio	Character	Ascended	Rare	N	 mr x lodge mastermind 
Muckraking Journalist (286)	standard	muckraking_journalist_standard	Pledged Operative	2	{asc}	{asc}	1	0	0	Turn and maintain to prevent target character from unturning normally.			Susan Van Camp	Character	Ascended	Uncommon	N	 muckraking journalist pledged operative 
Phillipe Benoit (287)	standard	phillipe_benoit_standard	Pledged Assassin	4	{asc}{asc}	{asc}	5	0	0	Unique.  Stealth.	"Your pleading for mercy reminds me of a line from Sartre."		Douglas Shuler	Character	Ascended	Rare	N	 phillipe benoit pledged assassin 
The Pledged (288)	standard	the_pledged_standard	Loyal Initiates	1		{asc}	1	0	0		"At the lowest levels, the Order of the Wheel is like the Kiwanis Club. Go a little higher up, and the Colt 1911s come out."		Ron Rousselle	Character	Ascended	Very Common	N	 the pledged loyal initiat initiate initiates 
Reverend RedGlare (289)	netherworld	reverend_redglare_nw	Mercenary	3	{asc}		3	0	0	Unique.  Select a designator when Reverend RedGlare is brought into play.  Turn Reverend RedGlare to inflict 3 points of damage on target character bearing that designator.			Anson Maddocks	Character	Ascended	Rare	N	 reverend red glare mercenary 
Sam Mallory (290)	flashpoint	sam_mallory_fp	Lodge Killer	5	{asc}{asc}{asc}	{asc}	7	0	0	Unique. Toughness: X.  X = number of damage counters on Sam Mallory.	For an unstoppable killer, he's a pretty decent guy.		Heather Bruton	Character	Ascended	Rare	N	 sam mallory lodge killer 
Shell of the Tortoise (291)	standard	shell_of_the_tortoise_standard	Lodge Mastermind	3	{asc}{asc}{asc}	{asc}	6	0	0	Cannot turn to attack.  Turn to redirect damage done to any feng shui site from a single source to Shell of the Tortoise.			Diana Vick	Character	Ascended	Rare	N	 shell tortoise lodge mastermind 
Shinobu Yashida (292)	netherworld	shinobu_yashida_nw	Pledged Master	4	{asc}{asc}{asc}	{asc}	7	0	0	Unique.  Inflicts +3 damage on characters with Fighting of 8 or more.	"Only you are worthy of my sharpest blows, Wong Fei Hong."		Daniel Gelon	Character	Ascended	Rare	N	 shinobu yashida pledged master 
Soul of the Shark (293)	standard	soul_of_the_shark_standard	Lodge Mastermind	3	{asc}	{asc}	2	0	0	Turn to change the subject of a State as the State is played.  You must choose a legal subject with the same controller as the original subject or the State is played on its original subject.			Melissa Benson	Character	Ascended	Uncommon	N	 soul shark lodge mastermind 
Sting of the Scorpion (294)	standard	sting_of_the_scorpion_standard	Lodge Assassin	5	{asc}{asc}{asc}	{asc}	4	0	0	Assassinate.	She reatins not only the blood of her ancestors, but their poison as well.		Quinton Hoover	Character	Ascended	Uncommon	N	 sting scorpion lodge assassin 
Strike Force (295)	standard	strike_force_standard	Commandos	6	{asc}{asc}{asc}	{asc}	7	0	0	Tactics.  Stealth.	The armies of the world are in fact one force under the command of the Unspoken name.		Margaret Organ-Kean	Character	Ascended	Rare	N	 strike force commando commandos 
Student of the Bear (296)	standard	student_of_the_bear_standard	Pledged Martial Artist	1		{asc}	1	0	0		Graduates of the Bear School don't bother with the subtle approach.		Quinton Hoover	Character	Ascended	Very Common	N	 student bear pledged martial artist 
Student of the Shark (297)	flashpoint	student_of_the_shark_fp	Pledged Hood	2		{asc}	2	0	0	Inflicts +1 damage on damaged characters and damaged sites.			Drew Tucker	Character	Ascended	Common	N	 student shark pledged hood 
Swat Team (298)	standard	swat_team_standard	Cop Pawns	2		{asc}	2	0	0		"Name any place in the world: the Lodge can have an emergency response team there in twenty minutes, tops."		Mike Kimble	Character	Ascended	Very Common	N	 swat team cop pawn pawns 
Swiss Banker (299)	standard	swiss_banker_standard	Pledged Financier	2	{asc}	{asc}	1	0	0	Turn for 1 Power.  Swiss Banker is smoked if you have no Power in your pool.			L. A. Williams	Character	Ascended	Common	N	 swis swiss banker pledged financier 
Tatsuya Yanai (300)	standard	tatsuya_yanai_standard	Lodge Mastermind	3	{asc}	{asc}	1	0	0	Unique.  Turn Tatsuya Yanai, except during an attack, to switch the locations of any two sites belonging to a single controller.			Anson Maddocks	Character	Ascended	Rare	N	 tatsuya yanai lodge mastermind 
Tooth of the Snake (301)	standard	tooth_of_the_snake_standard	Lodge Assassin	4	{asc}	{asc}	4	0	0	Stealth.	The blood of the snake lets him strike fast and true.		Mike Kimble	Character	Ascended	Uncommon	N	 tooth snake lodge assassin 
Triumvirate Dealmaker (302)	netherworld	triumvirate_dealmaker_nw	Pledged Mastermind	2	{asc}	{asc}	2	0	0	Turn to give an attacking character controlled by an opponent +2 Fighting until end of turn.  If that character damages its target in the attack, you gain 1 Power.	"Your *new* terms are...."		Mark Wilson	Character	Ascended	Common	N	 triumvirate dealmaker pledged mastermind 
Undercover Cop (303)	standard	undercover_cop_standard	Pledged Operatives	2	{asc}	{asc}	100	0	0	Stealth.  X = the number of Cop characters you control.  Can attack back-row sites.			Mark Poole	Character	Ascended	Uncommon	N	 undercover cop pledged operativ operative operatives 
The Unspoken Name (304)	standard	the_unspoken_name_standard	Lodge Chairperson	3	{asc}{asc}{asc}{asc}{asc}	{asc}{asc}	6	0	0	Unique.  Cannot turn to attack.  Turn to give Stealth until the end of the turn to any number of characters whose combined play cost does not exceed 7.			Susan Van Camp	Character	Ascended	Rare	N	 unspoken name the lodge chairperson 
Vladimir Kovalov (305)	standard	vladimir_kovalov_standard	Lodge Mastermind	4	{asc}{asc}{asc}	{asc}	7	0	0	Unique.  You may discard an additional card at the beginning of your turn.	His wolf soul suits him for the challenges of the new Russia.		Melissa Benson	Character	Ascended	Rare	N	 vladimir kovalov lodge mastermind 
Web of the Spider (306)	standard	web_of_the_spider_standard	Lodge Mastermind	3	{asc}{asc}{asc}	{asc}	3	0	0	Turn, except during an attack, to change the position of target character to any location on its controller's side.			Mark Poole	Character	Ascended	Rare	N	 web spider lodge mastermind 
House on the Hill (307)	standard	house_on_the_hill_standard	Site	2		{dra}	0	1	5	Characters at House on the Hill's location have Toughness: 1 when intercepting attackers.			Mark Poole	Site	Dragons	Common	N	 house hill 
Kar Fai's Crib (308)	flashpoint	kar_fais_crib_fp	Site	2	{dra}	{dra}{chi}	0	1	7	Unique. You may play Dragon States at -1 cost.  Turn to ignore one resource condition when playing a character.			Douglas Shuler	Site	Dragons	Rare	N	 kar fai fais crib 
Wind Across Heaven (309)	standard	wind_across_heaven_standard	Edge	2	{dra}		0	0	0	{lot} characters suffer 2 points of damage whenever they become turned.			Richard Thomas	Edge	Dragons	Uncommon	N	 wind acros across heaven 
"Now You've Made Us Mad" (310)	standard	now_youve_made_us_mad_standard	Event	0	{dra}{dra}		0	0	0	Gain 1 Power for each of your characters that is damaged.	Nietzsche said: "That which does not kill us makes us kick more butt." Or something like that.		Mark Poole	Event	Dragons	Uncommon	N	 "now youve made u us mad" 
Array of Stunts (311)	standard	array_of_stunts_standard	Event	1	{dra}{dra}		0	0	0	You may change the locations of all your characters to new locations on your side as many columns right or left as you wish.			Heather Hudson	Event	Dragons	Uncommon	N	 array stunt stunts 
Assassins in Love (312)	standard	assassins_in_love_standard	Event	0	{dra}{dra}		0	0	0	You are now the controller of all Assasins.  They come to your side unturned.	They cared only for money --- until they saw each other.		Julie Baroh	Event	Dragons	Rare	N	 assassin assassins love 
Back for Seconds (313)	standard	back_for_seconds_standard	Event	1	{dra}		0	0	0	Unturn target character.	"Okay, pal, this time the gloves are off!"		NéNé Thomas	Event	Dragons	Common	N	 back second seconds 
Booby Trap (314)	standard	booby_trap_standard	Event	1	{dra}		0	0	0	Play when one of your sites is attacked.  Target site and all characters at its location suffer 3 points of damage.	"I knew we couldn't hold it, so I wired the joint to blow."	Ruling: Booby Trap may be played at any time before the attack ends. (So do damage with interceptors first.) FAQ Clarification (seems to contradict): "Play on a site you control when the site is attacked. Target site ..."	Bryon Wackwitz	Event	Dragons	Common	N	 booby trap 
Carnival of Carnage (315)	flashpoint	carnival_of_carnage_fp	Event	1	{dra}		0	0	0	For the duration of this turn, after each character is smoked, you may inflict 1 point of damage on any character in play.  Each point of damage inflicted by Carnival of Carnage is a seperate source of damage.			Drew Tucker	Event	Dragons	Common	N	 carnival carnage 
The Crucible (316)	standard	the_crucible_standard	Event	1	{dra}{dra}		0	0	0	All Demons in play are toasted.	"Funny... the foam that melted demons leave behind is a lot like oven cleaner."		Richard Kane Ferguson	Event	Dragons	Rare	N	 crucible the 
Dirk Wisely's Gambit (317)	flashpoint	dirk_wiselys_gambit_fp	Event	0	{dra}	{dra}{tek}	0	0	0	Limited. Play when you turn only one character to attack a target controlled by an opponent who controls four or more cards. If your character succeeds in damaging its target in combat, you gain 2 Power.			Mark Poole	Event	Dragons	Common	N	 dirk wisely wiselys gambit 
Fighting Spirit (318)	flashpoint	fighting_spirit_fp	Event	0	{dra}		0	0	0	Toast It. Return exactly two randomly selected {dra} Events to your hand from your smoked pile. If you select two identical Events, they are toasted instead of returned to your hand.			Heather Hudson	Event	Dragons	Common	N	 fighting spirit 
Final Brawl (319)	standard	final_brawl_standard	Event	0	{dra}		0	0	0	All characters in play suffer 2 points of damage.	Hamlet, Oedipus, Dirty Harry --- the classic stories always end in blood.		Richard Kane Ferguson	Event	Dragons	Common	N	 final brawl 
Flying Kick (320)	netherworld	flying_kick_nw	Event	1	{dra}		0	0	0	Target character gains Superleap until end of turn.	"Yeah, yeah, we'll give it back to the Hand when we're done with it."		Margaret Organ-Kean	Event	Dragons	Very Common	N	 flying kick 
Golden Comeback (321)	standard	golden_comeback_standard	Event	2	{dra}		0	0	0	You may take a character from your smoked pile and return it to play.	"It'll take more than nine slugs in the chest to put me down when there are still creeps like you in the world!"		NéNé Thomas	Event	Dragons	Common	N	 golden comeback 
Kiii-YAAAH! (322)	netherworld	kiiiyaaah_nw	Event	0	{dra}{dra}		0	0	0	Play during your main shot, and only on target opponent who controls three or more Power-generating sites.  Take up to 3 Power from target's pool and add it to your own.			Douglas Shuler	Event	Dragons	Very Common	N	 kiii yaaah 
Last Outpost (323)	standard	last_outpost_standard	Event	1	{dra}		0	0	0	All your characters gain Toughness: 1 until the end of the turn.	"Looks like there's over fifty of them. Hope you're a good shot, cop."		L. A. Williams	Event	Dragons	Common	N	 last outpost 
Last Stand (324)	standard	last_stand_standard	Event	1	{dra}{dra}{dra}{dra}		0	0	0	All your characters gain +2 Fighting until the end of the turn if an opponent has more feng shui sites in play than you.	They got Mane, McCroun, Donovan --- but they ain't gettin' us!		Anthony Waters	Event	Dragons	Rare	N	 last stand 
Let's Book! (325)	flashpoint	lets_book_fp	Event	1	{dra}{dra}{dra}		0	0	0	Play during an attack you declared. All attacking characters you control cease attacking. Until the end of the turn, Events played by opponents cannot damage these characters or remove them from play.			Kaja Foglio	Event	Dragons	Uncommon	N	 let lets book 
Old Hermit's Gambit (326)	flashpoint	old_hermits_gambit_fp	Event	0	{dra}{dra}	{chi}{mag}	0	0	0	Play only during your turn in response to an opponent turning a non-character card. You may unturn a target card.			Randy Gallegos	Event	Dragons	Common	N	 old hermit hermits gambit 
Slo Mo Vengeance (327)	flashpoint	slo_mo_vengeance_fp	Event	100	{dra}		0	0	0	During any turn, you may play, at no cost, a total of X weapon States or Gun States from your smoked pile onto a character you control.	This is the moment when it all does down....		Heather Hudson	Event	Dragons	Common	N	 slo mo vengeance 
Surprise, Surprise (328)	netherworld	surprise_surprise_nw	Event	0	{dra}		0	0	0	Play when attacked. Cut your deck and draw a card.  Put the card in your hand or discard it, or play it immediately at no cost and regardless of card type.  If the card is in play at the end of the turn, toast it.			Quinton Hoover	Event	Dragons	Very Common	N	 surprise 
Thunder on Thunder (329)	standard	thunder_on_thunder_standard	Event	1	{dra}		0	0	0	All Edges in play are toasted.	Shock upon shock, old advantages are swept away by the storm.		Nicola Leonard	Event	Dragons	Uncommon	N	 thunder 
Ting Ting's Gambit (330)	flashpoint	ting_tings_gambit_fp	Event	0	{dra}	{dra}	0	0	0	Play Ting Ting's Gambit after an attack you declared fails. For the duration of the turn, you may declare subsequent attacks as if all your characters had the ability Independent.			Brian Snoddy	Event	Dragons	Common	N	 ting tings gambit 
Victory for the Underdog (331)	standard	victory_for_the_underdog_standard	Event	1	{dra}		0	0	0	Cancel and smoke any {arc} card.	"I could kick abominations all day long."		Susan Van Camp	Event	Dragons	Common	N	 victory underdog 
Who's the Big Man Now?! (332)	flashpoint	whos_the_big_man_now_fp	Event	0	{dra}{dra}		0	0	0	Toast It. For the duration of the turn, target character's Fighting score is increased by the number of cards controlled by an opponent of your choice.  The number of feng shui sites you need for victory is increased by one.			Brian Snoddy	Event	Dragons	Common	N	 who whos big man now 
Bag Full of Guns (333)	standard	bag_full_of_guns_standard	State	2	{dra}		0	0	0	Play on a character you control.  Turn to give +1 Fighting until the end of the turn to all characters you control at subject character's location.			Brian Snoddy	State	Dragons	Uncommon	N	 bag full gun guns  
Baptism of Fire (334)	standard	baptism_of_fire_standard	State	1	{dra}		0	0	0	Play on any character immediately after subject character has been damaged.  Subject character gains +2 Fighting.  You may play Baptism of Fire during another player's turn.			L. A. Williams	State	Dragons	Rare	N	 baptism fire 
Both Guns Blazing (335)	flashpoint	both_guns_blazing_fp	State	0	{dra}		0	0	0	Subject character gains +1 Fighting for each Weapon State on it. Draw a card when you play a weapon State on subject character. No character may be the subject of more than one Both Guns Blazing.			Melissa Benson	State	Dragons	Common	N	 both gun guns  blazing 
Charmed Life (336)	standard	charmed_life_standard	State	1	{dra}		0	0	0	Play on any character.  Subject character is immune to any effects that smoke characters or cards.  Character can still be smoked due to damage.			Phil Foglio	State	Dragons	Uncommon	N	 charmed life 
Claw of the Dragon (337)	flashpoint	claw_of_the_dragon_fp	State	2	{dra}{dra}{dra}		0	0	0	Subject character gains +2 Fighting and Guts. You may play Claw of the Dragon at no cost, and ignoring resource conditions, when a feng shui site you control is seized or burned.			Ron Rousselle	State	Dragons	Common	N	 claw dragon 
Comrades in Arms (338)	flashpoint	comrades_in_arms_fp	State	1	{dra}		0	0	0	Limited. You may ignore resource conditions when playing characters that share a designator with subject character. If you have a Battleground site in your front row, other characters you control that share a designator with subject character gain Toughness: 1	So we meet again... *this* time as allies.		Bryon Wackwitz	State	Dragons	Common	N	 comrad comrade comrades arm arms 
Fists of Legend (339)	standard	fists_of_legend_standard	State	2	{dra}		0	0	0	Unique.  Play on any character.  Subject character's Fighting score is increased by the number of Unique characters in your smoked pile.			April Lee	State	Dragons	Rare	N	 fist fists legend 
Heroic Conversion (340)	standard	heroic_conversion_standard	State	0	{dra}		0	0	0	Play on any character.  If subject character attacks you, you take control of it at the end of the turn.	"I have served those butchers all my life! Blind --- I have been blind!"		Edward Beard, Jr.	State	Dragons	Uncommon	N	 heroic conversion 
Repulsor Beams (341)	netherworld	repulsor_beams_nw	State	2	{dra}		0	0	0	Limited.  When subject site is attacked, turn subject site to reduce damage that target attacking character inflicts to 0 until the end of the attack.	One of the Prof's most useful inventions."		Heather Bruton	State	Dragons	Common	N	 repulsor beam beams 
Stolen Police Car (342)	flashpoint	stolen_police_car_fp	State	0	{dra}{dra}		0	0	0	Vehicle. During an attack, you may turn Stolen Police Car and flip a coin. Heads: subject character gains Superleap and +2 Fighting until the end of the attack. Tails: return subject character to its owner's hand.			Bryon Wackwitz	State	Dragons	Common	N	 stolen police car 
Training Sequence (343)	standard	training_sequence_standard	State	1	{dra}		0	0	0	Play on any character.  Subject character gains +1 Fighting.  Multiple Training Sequence cards can be played on the same character.	Supreme prowess in one montage and a soundtrack tune...		April Lee	State	Dragons	Common	N	 training sequence 
Undercover (344)	standard	undercover_standard	State	1	{dra}		0	0	0	Play on any character.  Subject character can attack back-row sites.  Subject can still be blocked by characters at the location it is attacking.			John T. Snyder	State	Dragons	Uncommon	N	 undercover 
Average Joe (345)	standard	average_joe_standard	Blue-Collar Hero	3		{dra}	2	0	0	Toughness: 1.	"It's up to ordinary folks like you and me to stop these dirt bags, in the name of truth, freedom, and hamburgers with the works."		Douglas Shuler	Character	Dragons	Very Common	N	 average joe blue collar hero 
Bao Chou (346)	netherworld	bao_chou_nw	Avenging Ghost	4	{dra}{dra}{dra}	{dra}{mag}	100	0	0	Unique.  X = the number of characters in your smoked pile.  Cannot turn to heal.  Heals when a feng shui site you control is seized or burned.			Heather Hudson	Character	Dragons	Rare	N	 bao chou avenging ghost 
Big Bruiser (347)	standard	big_bruiser_standard	Kicker of Butts	5	{dra}{dra}	{dra}	6	0	0	Guts.  Toughness: 1.	"Was that supposed to hurt or something?"		Richard Kane Ferguson	Character	Dragons	Uncommon	N	 big bruiser kicker butt butts 
Bronze Sentinel (348)	netherworld	bronze_sentinel_nw	Automation	2	{dra}	{dra}	2	0	0	During your turn, toast a feng shui site you have in play to increase Bronze Sentinel's Fighting score until the end of the turn by the number of characters in your smoked pile.			Richard Kane Ferguson	Character	Dragons	Very Common	N	 bronze sentinel automation 
Capoeira Master (349)	standard	capoeira_master_standard	Martial Artist	4	{dra}{dra}{dra}	{dra}	5	0	0	Inflicts +3 damage when intercepting.	"I never saw anybody break a jawbone so beautifully."		Mark Poole	Character	Dragons	Rare	N	 capoeira master martial artist 
Chinese Doctor (350)	standard	chinese_doctor_standard	Wise Physician	1	{dra}	{dra}	1	0	0	Turn to heal target character.	"Lucky they shot you in the head, Jack. Next time they might hit something important."		Andi Rusu	Character	Dragons	Common	N	 chinese doctor wise physician 
Coffee-Stained Cop (351)	flashpoint	coffee_stained_cop_fp	Wily Veteran	3	{dra}	{dra}	4	0	0	If Coffee-Stained Cop is smoked by an opponent, all characters you currently control gain +1 Fighting until the end of the turn.			Drew Tucker	Character	Dragons	Uncommon	N	 coffee stained cop wily veteran 
Dragon Adept (352)	standard	dragon_adept_standard	Versatile Combatant	4	{dra}{dra}	{dra}	5	0	0	Independent.	He's a gourmet cook, an expert at calculus --- and can kick you into next week.		Heather Bruton	Character	Dragons	Uncommon	N	 dragon adept versatile combatant 
Dragon Fighter (353)	standard	dragon_fighter_standard	Streetfighter	4		{dra}	4	0	0	Guts.	The last honest guy in the wrong part of town.		Richard Kane Ferguson	Character	Dragons	Common	N	 dragon fighter streetfighter 
Everyday Hero (354)	standard	everyday_hero_standard	Brave Scrapper	2		{dra}	2	0	0	Guts.	If justice is to prevail in the secret war, ordinary people all around the world must stand up for what's right.		Liz Danforth	Character	Dragons	Very Common	N	 everyday hero brave scrapper 
Ex-Commando (355)	flashpoint	excommando_fp	Dangerous Vet	3	{dra}{dra}	{dra}	3	0	0	Ex-Commando unturns whenever a weapon State or Gun State is played on him.	Secretly, he's glad peacetime isn't so peaceful.		Steve Bryant	Character	Dragons	Common	N	 ex commando dangerou dangerous vet 
Friends of the Dragon (356)	standard	friends_of_the_dragon_standard	Dragon Supporters	1		{dra}	1	0	0		"We need to kick some bad-guy butt. Round up your students, Zheng!"		Douglas Shuler	Character	Dragons	Very Common	N	 friend friends dragon supporter supporters 
Gadgeteer (357)	standard	gadgeteer_standard	Resourceful Techie	2	{dra}	{dra}{tek}	2	0	0	Gains +1 Fighting for each {tek} card placed on her.			Douglas Shuler	Character	Dragons	Common	N	 gadgeteer resourceful techie 
The Golden Gunman (358)	netherworld	the_golden_gunman_nw	Magic Hero	5	{dra}{dra}	{dra}{mag}	8	0	0	Unique.  Independent.  The Golden Gunman is not a legal target for Events.  If the Golden Gunman turns to attack, no other characters you control can turn to attack with him.			Mark Poole	Character	Dragons	Rare	N	 golden gun man the magic hero 
Gonzo Journalist (359)	flashpoint	gonzo_journalist_fp	Crazed Reporter	2		{dra}	2	0	0	When Gonzo Journalist turns to attack, you may discard X cards and draw X cards. X = up to the number of factions that your pool and the target's controller's pool have in common.			Ken Meyer Jr.	Character	Dragons	Common	N	 gonzo journalist crazed reporter 
Grease Monkey (360)	flashpoint	grease_monkey_fp	Gutsy Mechanic	1	{dra}	{dra}	1	0	0	Turn to play a vehicle State at -1 cost. Turn to heal a character that is the subject of a vehicle State.			Anson Maddocks	Character	Dragons	Uncommon	N	 grease monkey gutsy mechanic 
Hacker (361)	flashpoint	hacker_fp	Gun-Totin' Techie	2		{dra}{tek}	2	0	0	Any time Hacker is in your hand when an opponent plays an Event that steals Power from your pool or that toasts a card (or cards) other than itself, cancel that Event and put Hacker into play at no cost.		Ruling: Hacker can respond to Dangerous Experiment and Inauspicious Reburial, even if they toast 0 cards.	Mark Tedin	Character	Dragons	Common	N	 hacker gun  totin techie 
Iala Mané (362)	standard	iala_mane_standard	Martial Artist	5	{dra}{dra}{dra}{dra}	{dra}	8	0	0	Unique.  Independent.  Can attack during an opponent's turn.		One of the Operation Killdeer characters	Mark Poole	Character	Dragons	Rare	N	 iala mané martial artist 
Jack Donovan (363)	standard	jack_donovan_standard	Maverick Cop	5	{dra}{dra}{dra}	{dra}	8	0	0	Unique.  Guts.  If one of your sites is burned while Jack Donovan is in your smoked pile, return Jack Donovan to your hand.		One of the Operation Killdeer characters	Liz Danforth	Character	Dragons	Rare	N	 jack donovan maverick cop 
Jane Q. Public (364)	flashpoint	jane_q_public_fp	Girl Next Door	2	{dra}	{dra}	2	0	0	If Jane Q. Public is smoked by an intercepting character or by an Event played by an opponent, you gain 2 power.			John Matson	Character	Dragons	Common	N	 jane q public girl next door 
Jason X (365)	netherworld	jason_x_nw	Supersoldier	4	{dra}{dra}{dra}	{dra}{arc}	6	0	0	Unique.  Guts.  The cost of all {arc} Events is increased by 1 while Jason X is in play.	"I was Johann Bonengel's personal bodyguard, but all that changed the day I met the Prof."		Dan Frazier	Character	Dragons	Rare	N	 jason x super soldier 
Joey Paz (366)	flashpoint	joey_paz_fp	Escrima Master	4	{dra}{dra}{dra}	{dra}{chi}	6	0	0	Unique. Toughness: 2 against combat damage inflicted by unturned characters and any character whose controller played an Event this turn.			Daniel Gelon	Character	Dragons	Rare	N	 joey paz escrima master 
Johnny Badhair (367)	flashpoint	johnny_badhair_fp	Wild Man	5	{dra}{dra}{dra}	{dra}{jam}	7	0	0	Unique. Guts. Cannot be sacrificed. At the end of a turn in which Johnny Badhair has been smoked, cut your deck to draw a card, and show it to your opponents. If the card is a character that has a resource condition or is a State, return Johnny Badhair to play.			Phil Hale	Character	Dragons	Rare	N	 johnny badhair wild man 
Johnny Tso (368)	standard	johnny_tso_standard	Heroic Gunman	3	{dra}{dra}{dra}	{dra}	4	0	0	Unique.  Assassinate against {lot} characters.  Weapons played on Johnny Tso have no cost.			Edward Beard, Jr.	Character	Dragons	Rare	N	 johnny tso heroic gun man 
Kar Fai (369)	standard	kar_fai_standard	Kung Fu Master	7	{dra}{dra}{dra}{dra}{dra}	{dra}{dra}{chi}	11	0	0	Unique.  Guts.  All other {dra} characters you control gain Guts and +1 Fighting while Kar Fai is in play.			Douglas Shuler	Character	Dragons	Rare	N	 kar fai kung fu master 
Little Jim (370)	flashpoint	little_jim_fp	Rebel Abomination	6	{dra}{dra}{tek}	{dra}	10	0	0	Unique. Little Jim heals whenever an opponent plays an Event.	"Home is where my friends are."		Edward Beard, Jr.	Character	Dragons	Rare	N	 little jim rebel abomination 
Mad Dog McCroun (371)	standard	mad_dog_mccroun_standard	Big Bruiser	4	{dra}{dra}{dra}	{dra}	6	0	0	Unique.  Toughness: 1.  Guts.	"I was just another two-bit thug till  Kar Fai rescued me from the Death Ring."	One of the Operation Killdeer characters	Mark Poole	Character	Dragons	Rare	N	 mad dog mc croun big bruiser 
Marisol (372)	netherworld	marisol_nw	Netherworld Mercenary	4	{dra}{dra}	{dra}{mag}	6	0	0	Unique.  Marisol cannot be the target of damage redirection effects.  All damage inflicted on Marisol by sources other than characters in combat is reduced to zero.	Roving fortune wizard gone good.	Errata: Should start with "Damage may not be redirected to Marisol." (The redirection card doesn't have to say "target")	Margaret Organ-Kean	Character	Dragons	Rare	N	 marisol netherworld mercenary 
Masked Avenger (373)	standard	masked_avenger_standard	Vigilante Hero	3	{dra}	{dra}	4	0	0	Takes no damage from characters with a Fighting score of 1.	Goons are grass. She's the lawnmower.		NéNé Thomas	Character	Dragons	Uncommon	N	 masked avenger vigilante hero 
Maverick Cop (374)	standard	maverick_cop_standard	Gun-Toting Hero	3	{dra}	{dra}	4	0	0	Takes no damage from Hood characters.	"Let the commissioner scream. I know what needs to get done on these streets."		NéNé Thomas	Character	Dragons	Uncommon	N	 maverick cop gun  toting hero 
Melissa Aguelera (375)	flashpoint	melissa_aguelera_fp	Commando Vet	5	{dra}{dra}	{dra}	7	0	0	Unique. Tactics. Melissa Aguelera's Fighting is increased by the number of players who control Battleground sites. All other characters you control that have Tactics gain +2 Fighting.			Heather Hudson	Character	Dragons	Rare	N	 melissa aguelera commando vet 
Netherworld Vet (376)	netherworld	netherworld_vet_nw	Portal Crawler	3	{dra}	{dra}	4	0	0	Gains +1 Fighting for each Edge controlled by an opponent.			Rob Alexander	Character	Dragons	Very Common	N	 netherworld vet portal crawler 
